INDICATIVO;X;Y;temperatura
3379;309518,27;4390670,61;33
3380;311702,28;4397095,59;34
3384;297605,26;4395756,63;34
3434;282645,74;4418847,42;35
3437;264694,76;4438053,71;34
3439;254111,85;4440858,74;30
3442;239981,98;4429907,03;34
3448;231091,95;4413542,04;34
3453;288027,31;4368088,85;31
3454;273595,46;4365565,08;32
3458;224266,02;4392478,09;34
3459;234946,92;4359223,18;34
3462;233661,02;4377637,03;35
3470;206054,18;4384504,24;34
3475;209279,14;4409706,99;34
3502;233921,98;4456825,54;34
3505;250967,80;4460565,39;31
3510;222425,11;4443496,77;34
3514;273572,65;4461241,32;25
3517;249094,89;4446889,65;29
3524;203560,27;4421971,96;34
3527;192412,50;4434615,98;35
3531;210073,22;4455387,55;33
3533;194351,44;4447357,72;35
3534;193875,42;4460166,37;31
3536;182975,72;4453232,53;33
3537;187704,60;4441449,84;35
3541;176594,56;4414569,83;34
3547;168732,06;4457088,46;32
3554;198155,22;4371991,27;35
3555;213528,14;4353806,24;34
3561;184208,39;4384131,22;34
3563;154911,66;4377349,29;34
3565;175260,51;4391454,07;34
3571;135629,70;4392608,32;34
3575;143449,64;4365072,39;33
3576;134151,60;4371440,45;33
4238;325636,19;4359717,45;34
4244;322848,21;4337046,40;35
4250;311459,24;4333795,52;33
4252;298659,26;4330318,75;35
4254;283801,25;4323307,96;34
4257;272862,68;4243081,65;34
4264;287049,71;4273854,32;35
4308;319034,90;4298420,83;35
4312;315922,96;4308857,75;35
4313;326882,02;4323939,42;35
4315;334410,90;4313660,50;35
4316;331382,90;4317333,47;35
4320;284409,11;4310332,08;35
4321;278984,89;4279935,32;35
4323;270387,04;4283881,34;35
4324;282546,86;4286317,25;35
4325;278749,95;4288890,27;35
4328;273016,16;4304788,18;35
4329;268282,25;4311190,13;35
4342;277439,31;4328113,96;34
4348;260493,48;4341945,09;35
4356;267711,12;4291673,31;35
4363;261575,09;4280436,41;35
4365;256936,19;4287057,39;35
4366;237587,49;4300265,41;35
4367;239229,57;4322189,27;35
4370;253405,58;4355530,17;34
4371;251960,58;4347797,17;35
4374;231156,72;4329808,26;35
4375;230460,58;4305196,43;34
4383;252128,89;4240913,88;34
4384;251929,93;4250270,77;34
4387;230531,12;4242531,07;34
4398;229922,44;4284346,60;35
4400;217765,69;4297796,54;34
4407;223391,71;4320444,35;35
4411;220989,05;4341648,18;34
4415;208186,93;4318522,50;35
4418;202718,97;4313508,58;34
4426;202817,47;4255112,14;34
4435;196444,89;4283142,83;36
4443;180690,13;4292529,83;35
4445;185417,20;4311027,66;35
4447;169602,09;4268980,25;33
4450;167246,23;4292215,89;35
4454;180880,41;4335458,51;35
4455;196625,12;4329429,51;35
4459;160934,49;4317199,63;35
4463;139424,62;4347546,44;35
4484;150381,54;4289633,08;34
4486;143534,73;4289813,10;34
4487;138072,84;4284218,20;35
4488;144873,60;4270872,41;34
4489;126534,92;4271273,55;34
4492;164240,18;4269635,28;33
4495;154274,06;4249543,85;34
4496;139154,32;4240719,28;34
4500;209811,30;4244174,25;34
4501;211153,22;4238168,32;34
4503;199700,14;4220800,61;33
4504;195653,45;4241700,46;35
4505;186335,69;4253761,36;34
4506;190509,31;4224911,68;33
4510;177844,70;4245695,61;35
4511;170140,82;4247767,68;35
4520;179929,48;4230695,77;33
5476;252856,84;4232867,96;35
5718;237445,96;4230729,11;34
5720;229760,85;4219406,26;35
3385D;299305,41;4415151,46;35
3385E;286942,43;4406690,51;33
3427E;297548,63;4434020,57;36
3429E;286231,69;4436490,65;36
3434U;279708,76;4424178,60;35
3436E;265108,74;4448351,59;29
3441E;262350,78;4419914,79;35
3453E;287041,32;4380951,75;32
3455D;273849,48;4378363,83;34
3455E;272668,51;4391792,69;33
3463E;254310,63;4374267,99;34
3464A;262344,49;4367968,13;32
3504A;256918,68;4461760,36;29
3514D;266026,64;4455792,45;28
3514E;260847,71;4452898,51;29
3518E;240266,97;4438232,91;34
3519A;236698,98;4436596,96;34
3531E;208974,22;4460680,44;33
3537E;190357,53;4448292,68;34
3540E;169257,67;4421218,96;34
4251A;306541,13;4323333,63;35
4333U;293997,31;4363144,77;32
4335A;292149,32;4356714,81;34
4335M;284278,35;4349368,91;35
4336U;271087,42;4341257,98;35
4339O;296032,30;4340228,77;35
4340C;286293,28;4329102,91;35
4349A;247658,58;4337193,18;34
4358A;249869,45;4315980,21;34
4362D;249961,00;4272969,00;35
4385I;239352,14;4259525,77;35
4392E;229181,33;4269616,74;35
4394U;217456,49;4271997,84;35
4423A;203327,12;4339209,34;35
4423P;194650,10;4318850,59;35
4429E;192556,69;4261334,16;34
4429U;184011,86;4266360,17;33
4431E;188740,82;4268770,08;34
4433A;199193,69;4269944,96;35
4436C;203932,83;4286535,72;35
4437E;188417,11;4298307,78;35
4444B;186810,19;4312671,64;35
4448D;167137,21;4280913,05;34
4471C;165806,57;4340967,48;35
4494A;156555,94;4244255,95;35
4499A;212463,97;4220153,46;33
4501F;209174,02;4221659,49;33
4511D;170711,78;4245674,71;35
5473F;265303,73;4238113,78;34
5769E;224437,72;4209862,39;34
